Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n105,6,0.0156,1.000000,124189.82,8944.910240,10177.388344,76079.768900,28987.754856
n106,6,0.0156,1.000000,123635.66,2586.569261,5637.987885,40960.325316,74450.775226
n107,6,0.0156,1.000000,117003.04,12296.919376,3983.608664,52565.725480,48156.781845
n108,6,0.0156,1.000000,123846.06,37392.651502,58996.955431,12165.551913,15290.896450
n109,6,0.0156,1.000000,120087.86,7126.239792,6722.043355,24367.786093,81871.795401
n110,6,0.0156,1.000000,126660.40,2197.107540,3205.971384,80363.084468,40894.240977
n111,6,0.0156,1.000000,147180.04,1746.368842,4126.381766,58540.322345,82766.965991
n112,6,0.0156,1.000000,150200.21,109645.081620,3919.668862,12049.625919,24585.835468
n113,6,0.0156,1.000000,138462.75,78040.873782,12653.169368,32927.303135,14841.402132
n114,6,0.0156,1.000000,137563.92,21066.259298,9541.352532,11012.316664,95943.987175
n115,6,0.0156,1.000000,129563.17,2998.022274,53374.820251,7387.100567,65803.227908
n116,6,0.0156,1.000000,123539.03,10965.439522,7865.565312,67560.237112,37147.785736
n117,6,0.0156,1.000000,133285.88,2226.662159,78363.480093,12850.098505,39845.642346
n118,6,0.0156,1.000000,135054.90,2554.215430,3543.319697,61167.543671,67789.823715
n119,6,0.0156,1.000000,126226.87,20208.751330,5457.154280,47130.228187,53430.732434
n120,6,0.0156,1.000000,118278.94,86940.974698,5840.804359,10398.993596,15098.163956
n121,6,0.0156,1.000000,118397.76,14505.419738,8224.669960,64838.451588,30829.222070
n122,6,0.0156,1.000000,110289.10,20773.502358,15644.051245,24011.307068,49860.242293
n123,6,0.0156,1.000000,138235.88,13884.684909,32415.299887,13093.643752,78842.247115
n124,6,0.0156,1.000000,133533.86,12024.325981,7635.235599,43715.658777,70158.641470
n125,6,0.0156,1.000000,145478.59,5519.251611,2636.592519,45988.787109,91333.963658
n126,6,0.0156,1.000000,140339.46,38541.856653,10032.448967,8494.119987,83271.036382
n127,7,0.0078,1.000000,133098.12,55243.392131,14031.365430,37054.898783,26768.465530
n128,7,0.0078,1.000000,114414.80,8941.261816,59080.102869,23676.725533,22716.714581
n129,7,0.0078,1.000000,129775.82,8578.590896,4437.969151,49903.923717,66855.336817
n130,7,0.0078,1.000000,132192.88,3388.868926,12850.026361,38747.384267,77206.596378
n131,7,0.0078,1.000000,115233.69,5125.064343,22262.340663,31584.415781,56261.869413
n132,7,0.0078,1.000000,115801.29,4108.482235,9963.938852,39144.086285,62584.786052
n133,7,0.0078,1.000000,134735.49,84853.124496,7229.548769,30018.466338,12634.349075
n134,7,0.0078,1.000000,124626.74,18657.073050,13472.338381,52940.980387,39556.353047
n135,7,0.0078,1.000000,125933.24,52841.557467,43994.373157,16183.929289,12913.375932
n136,7,0.0078,1.000000,117684.09,20855.921435,11194.941670,51961.583872,33671.638552
n137,7,0.0078,1.000000,146049.72,8288.551825,7137.494134,38632.525298,91991.145235
n138,7,0.0078,1.000000,143752.55,6322.938112,55273.924617,11594.509993,70561.179238
n139,7,0.0078,1.000000,132297.18,4836.661078,8260.756302,46517.552226,72682.205846
n140,7,0.0078,1.000000,131018.98,13991.993395,11550.867657,45918.091424,59558.030422
n141,7,0.0078,1.000000,123192.34,44448.107279,42134.395231,15339.542520,21270.299648
n142,7,0.0078,1.000000,127848.92,4574.889700,8462.097358,63042.231786,51769.696574
n143,7,0.0078,1.000000,127933.51,16944.340122,66901.718737,14412.697649,29674.752087
n144,7,0.0078,1.000000,120644.75,17670.070204,18502.450580,32421.177130,52051.056437
n145,7,0.0078,1.000000,148725.32,18439.607176,10188.356467,45349.703727,74747.655043
n146,7,0.0078,1.000000,148584.75,9142.413823,4091.210105,57497.294036,77853.829622
n147,7,0.0078,1.000000,146145.30,3789.761527,10348.414027,71017.383888,60989.741536
n148,7,0.0078,1.000000,152677.30,46553.645449,6521.923365,23227.752994,76373.981691
n149,7,0.0078,1.000000,132129.02,24026.719679,79899.617108,16733.216847,11469.463957
n150,7,0.0078,1.000000,135432.97,28347.013301,10144.177659,20397.777374,76544.000483
n151,7,0.0078,1.000000,116384.83,31074.779298,15502.052026,21016.467423,48791.531184
n152,7,0.0078,1.000000,104696.77,10385.920895,39879.804470,22827.251680,31603.791056
n153,7,0.0078,1.000000,114826.12,48027.063931,18909.866537,28272.278875,19616.906369
n154,7,0.0078,1.000000,112032.60,29045.419282,41138.832364,20962.339796,20886.007432
n155,7,0.0078,1.000000,138877.45,4667.658538,4612.108489,37859.863898,91737.817489
n156,7,0.0078,1.000000,133788.40,11147.210175,5444.489822,43364.465373,73832.238792
n157,7,0.0078,1.000000,142476.14,77405.192827,10432.385903,19566.587042,35071.974336
n158,7,0.0078,1.000000,141223.75,15216.683217,14815.180600,19399.143025,91792.740193
n159,7,0.0078,1.000000,119297.51,34114.642830,10808.751895,50458.811837,23915.301181
n160,7,0.0078,1.000000,120790.82,6912.148706,23064.157489,33610.572385,57203.938191
n161,7,0.0078,1.000000,109034.25,12049.538148,40512.536664,21464.314872,35007.864876
n162,7,0.0078,1.000000,112633.10,7595.419070,26594.528481,26963.149949,51480.001559
n163,7,0.0078,1.000000,140064.99,6804.102401,20348.450661,33205.834906,79706.601944
n164,7,0.0078,1.000000,140542.80,5209.949398,9721.333561,37382.309539,88229.208155
n165,7,0.0078,1.000000,136520.31,6426.817275,9755.952091,54532.002277,65805.533847
n166,7,0.0078,1.000000,135689.24,4247.101235,26070.104880,25917.472190,79454.565562
n167,7,0.0078,1.000000,122360.09,7906.213882,5807.130364,67315.575199,41331.173995
