Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n107,6,0.0156,1.000000,96375.40,12475.641964,5186.591313,40651.471813,38061.690717
n108,6,0.0156,1.000000,102519.58,30172.196218,42609.037348,13623.790289,16114.556310
n109,6,0.0156,1.000000,99846.18,8195.367354,7848.819471,22148.259136,61653.735270
n110,6,0.0156,1.000000,105103.23,3034.500877,4346.434200,62511.009832,35211.289014
n111,6,0.0156,1.000000,98665.60,4511.314897,9652.167740,38198.201111,46303.915644
n112,6,0.0156,1.000000,101791.92,55656.438923,7708.927597,15551.730479,22874.827367
n113,6,0.0156,1.000000,94379.06,37123.522189,15811.266865,24797.812754,16646.456637
n114,6,0.0156,1.000000,91783.19,18325.345853,14804.238862,14619.190510,44034.414943
n115,6,0.0156,1.000000,84398.51,8488.331440,28375.687498,14111.668567,33422.823037
n116,6,0.0156,1.000000,83067.93,12372.396120,13175.566051,31150.103152,26369.869366
n117,6,0.0156,1.000000,85825.07,11452.640711,30743.180544,17667.136585,25962.112944
n118,6,0.0156,1.000000,85428.35,10437.039737,11750.543284,31649.537526,31591.230124
n119,6,0.0156,1.000000,87727.03,17099.940846,10912.699264,28912.443891,30801.947997
n120,6,0.0156,1.000000,82765.55,36637.784601,14472.650929,14533.087634,17122.030900
n121,6,0.0156,1.000000,83339.53,15331.398392,11375.501047,33342.022232,23290.612326
n122,6,0.0156,1.000000,76197.37,12522.469653,15149.279690,18858.047591,29667.569566
n123,6,0.0156,1.000000,91882.89,17654.267629,23089.673567,16135.221718,35003.722457
n124,6,0.0156,1.000000,88580.16,13361.082435,11586.789383,27078.382474,36553.903204
n125,6,0.0156,1.000000,97693.62,8026.837379,5334.811355,33546.558265,50785.413768
n126,6,0.0156,1.000000,93556.29,26363.337843,15052.584784,13350.320156,38790.044948
n127,7,0.0078,1.000000,97258.18,31722.065199,17210.381511,25957.105772,22368.624999
n128,7,0.0078,1.000000,89054.11,13542.817334,32973.143851,21430.056852,21108.090541
n129,7,0.0078,1.000000,95850.58,13027.282407,8979.921896,33225.648254,40617.725069
n130,7,0.0078,1.000000,98942.60,6358.055849,16152.157054,30368.677665,46063.712575
n131,7,0.0078,1.000000,88144.92,10555.545944,20185.277576,24333.051814,33071.041178
n132,7,0.0078,1.000000,87674.11,10062.226633,14994.256124,26792.215391,35825.415601
n133,7,0.0078,1.000000,99569.06,40809.004455,15264.584592,25626.862866,17868.608105
n134,7,0.0078,1.000000,92133.22,18360.926840,16446.152332,30449.951702,26876.188438
n135,7,0.0078,1.000000,100341.04,30947.280073,28953.029902,19759.270584,20681.456406
n136,7,0.0078,1.000000,95369.53,18612.722137,14210.212760,35486.390689,27060.204809
n137,7,0.0078,1.000000,116424.04,12000.502047,10348.239015,33355.621395,60719.674409
n138,7,0.0078,1.000000,113986.71,9867.421265,40364.683731,15602.478539,48152.128298
n139,7,0.0078,1.000000,105044.05,7937.710988,12232.504500,35926.616577,48947.215209
n140,7,0.0078,1.000000,104074.02,16487.962577,14292.498567,33125.912746,40167.649646
n141,7,0.0078,1.000000,96989.71,30071.159112,27075.840507,19174.039782,20668.668408
n142,7,0.0078,1.000000,101520.17,7863.664095,12578.845600,43176.212430,37901.452847
n143,7,0.0078,1.000000,96471.64,19826.266421,33182.259428,18622.709988,24840.402998
n144,7,0.0078,1.000000,92535.23,17025.657611,18315.538364,25097.698466,32096.338278
n145,7,0.0078,1.000000,107122.33,19238.334418,14310.827373,31675.286202,41897.879054
n146,7,0.0078,1.000000,108526.04,13841.218318,8057.419031,38957.613840,47669.786825
n147,7,0.0078,1.000000,104390.61,9107.042405,16217.799808,41348.497107,37717.274553
n148,7,0.0078,1.000000,110961.03,31846.731333,11133.721155,23647.483404,44333.091508
n149,7,0.0078,1.000000,94679.67,23176.642081,33066.469937,20072.104679,18364.452628
n150,7,0.0078,1.000000,97746.30,21919.258599,14386.825408,20697.110742,40743.100910
n151,7,0.0078,1.000000,84876.27,22494.463868,16664.348675,18703.452709,27014.008084
n152,7,0.0078,1.000000,76118.09,15205.362655,22759.987236,17581.283105,20571.460238
n153,7,0.0078,1.000000,80359.07,20333.893441,18843.968136,21664.492052,19516.711451
n154,7,0.0078,1.000000,82622.60,20514.215349,23475.499778,19399.468905,19233.413422
n155,7,0.0078,1.000000,100526.17,8990.854460,8911.768028,30330.112797,52293.433371
n156,7,0.0078,1.000000,94620.31,15999.684378,10836.888837,29030.387085,38753.345729
n157,7,0.0078,1.000000,102323.50,40515.302856,14693.788267,19829.637250,27284.774445
n158,7,0.0078,1.000000,100742.64,17891.947944,17588.538811,20236.194103,45025.962040
n159,7,0.0078,1.000000,99013.04,27615.006113,13468.995775,35949.258708,21979.782119
n160,7,0.0078,1.000000,99358.72,10017.988175,21921.122155,27884.122431,39535.485291
n161,7,0.0078,1.000000,90450.44,14248.728854,28957.125637,20274.979197,26969.606800
n162,7,0.0078,1.000000,93226.83,10698.568714,23405.934055,23700.537551,35421.790233
n163,7,0.0078,1.000000,118070.34,9416.149767,21664.520968,30319.281711,56670.387643
n164,7,0.0078,1.000000,117824.39,7344.841794,12555.666087,33561.007305,64362.873117
n165,7,0.0078,1.000000,113886.02,9140.985106,12620.026016,42775.790426,49349.221461
n166,7,0.0078,1.000000,114027.88,6172.820989,25593.071655,25461.249901,56800.732597
n167,7,0.0078,1.000000,98266.20,11417.839570,9064.689041,45509.161508,32274.508775
n168,7,0.0078,1.000000,100817.06,13093.744735,30313.073244,20005.569190,37404.673153
n169,7,0.0078,1.000000,82512.00,12511.929413,28521.472749,14297.674529,27180.918708
n170,7,0.0078,1.000000,95075.59,17122.519678,37426.692665,18296.643170,22229.735592
n171,7,0.0078,1.000000,102157.65,46495.940817,16664.789478,16414.562048,22582.361294
n172,7,0.0078,1.000000,102105.21,48318.412674,11389.884328,16295.540851,26101.369813
n173,7,0.0078,1.000000,106547.80,7107.315814,22024.403781,26936.519134,50479.566258
n174,7,0.0078,1.000000,98025.92,14774.119807,10010.253650,27700.091849,45541.458669
n175,7,0.0078,1.000000,108529.89,15202.693577,43584.705825,20142.250635,29600.238634
n176,7,0.0078,1.000000,107773.34,11573.370599,36292.518069,23528.455431,36378.996339
n177,7,0.0078,1.000000,100093.75,17182.937904,20923.246949,25886.335863,36101.228559
n178,7,0.0078,1.000000,104675.23,10947.963124,35999.518673,16482.458686,41245.290912
n179,7,0.0078,1.000000,100877.56,13020.097690,13357.729281,26322.971584,48176.766159
n180,7,0.0078,1.000000,95441.81,29513.856301,22227.202015,22013.510167,21687.240394
n181,7,0.0078,1.000000,102995.33,17984.897253,10248.888597,33142.929583,41618.619317
n182,7,0.0078,1.000000,102541.68,43054.388328,13024.530840,23176.618383,23286.144006
n183,7,0.0078,1.000000,107260.11,13048.099541,16621.317596,30546.760401,47043.929674
n184,7,0.0078,1.000000,106627.88,11418.848551,47069.864471,16355.370113,31783.792241
