Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n139,7,0.0078,2.200000,137463.47,12072.714128,17136.690697,42048.356411,66205.707892
n140,7,0.0078,2.200000,136163.83,21245.416644,19187.867859,41618.084517,54112.458561
n141,7,0.0078,2.200000,126634.62,35742.787497,43524.200848,23048.628146,24319.003732
n142,7,0.0078,2.200000,132874.60,12181.479609,17628.994028,56783.197461,46280.932132
n143,7,0.0078,2.200000,152036.61,20961.760284,78467.095043,19277.317795,33330.441374
n144,7,0.0078,2.200000,143742.70,21370.088792,22146.253920,36225.358247,64001.003992
n145,7,0.0078,2.200000,175896.81,24073.909039,17170.826971,50504.907900,84147.165561
n146,7,0.0078,2.200000,176772.17,16312.945469,8859.233340,63132.002522,88467.984931
n147,7,0.0078,2.200000,177176.04,8714.541947,18657.246376,82311.108736,67493.138977
n148,7,0.0078,2.200000,186187.04,55455.594131,12770.338388,27717.170221,90243.938118
n149,7,0.0078,2.200000,149461.33,30740.722498,80013.741180,21115.899210,17590.964558
n150,7,0.0078,2.200000,153681.14,33989.043409,16468.237164,24222.523668,79001.340617
n151,7,0.0078,2.200000,129353.83,33023.521271,19923.067890,23074.564383,53332.677423
n152,7,0.0078,2.200000,115861.80,15716.682646,43661.176943,23278.341135,33205.599178
n153,7,0.0078,2.200000,128352.52,53329.331852,21492.011066,31591.724136,21939.453001
n154,7,0.0078,2.200000,125089.93,32760.098071,46582.642332,22832.477421,22914.716165
n155,7,0.0078,2.200000,164466.32,9747.765839,9654.354122,43403.276115,101660.921370
n156,7,0.0078,2.200000,156942.05,18111.375406,11089.731678,45654.971116,82085.968792
n157,7,0.0078,2.200000,168253.80,87485.104892,17069.992280,24147.268648,39551.437651
n158,7,0.0078,2.200000,166351.02,20267.976450,20028.177979,29268.788055,96786.079492
n159,7,0.0078,2.200000,132787.18,35615.308011,17619.825523,54837.770020,24714.279013
n160,7,0.0078,2.200000,133341.09,14055.694226,24968.611815,34796.480374,59520.300480
n161,7,0.0078,2.200000,121003.43,18862.225295,42240.581749,24118.432274,35782.191026
n162,7,0.0078,2.200000,124766.35,14677.687269,27604.508120,29654.350154,52829.807571
n163,7,0.0078,2.200000,155305.36,14663.892222,24890.841323,36806.779303,78943.844345
n164,7,0.0078,2.200000,154075.12,12303.030107,18120.805857,38934.560933,84716.725514
n165,7,0.0078,2.200000,147930.85,14937.495594,18445.454635,51374.892289,63173.011061
n166,7,0.0078,2.200000,149149.19,10609.785618,31880.987201,29500.867503,77157.553624
n167,7,0.0078,2.200000,126786.13,15586.509408,13033.106398,61415.933504,36750.577352
n168,7,0.0078,2.200000,130162.88,17943.911378,38008.230647,23743.834787,50466.903231
n169,7,0.0078,2.200000,106579.86,16300.789354,38540.374310,18426.858665,33311.841427
n170,7,0.0078,2.200000,122659.25,20765.152252,51421.949266,21528.259943,28943.888828
n171,7,0.0078,2.200000,132545.14,62441.612567,20472.614237,20471.476332,29159.437840
n172,7,0.0078,2.200000,132050.85,63564.394771,16156.879660,20460.868626,31868.709506
n173,7,0.0078,2.200000,136914.91,12401.328851,24597.190431,33747.902598,66168.489180
n174,7,0.0078,2.200000,126497.03,19668.924429,15334.360062,32457.990403,59035.757137
n175,7,0.0078,2.200000,140722.40,20115.090908,62300.224270,23498.318871,34808.767284
n176,7,0.0078,2.200000,139212.00,17351.404631,48161.193079,26529.725889,47169.675524
n177,7,0.0078,2.200000,128917.55,21606.758289,23598.359109,31920.121382,51792.307128
n178,7,0.0078,2.200000,134725.29,16414.116891,47587.790957,21531.061828,49192.316062
n179,7,0.0078,2.200000,130414.97,18010.589114,18329.361382,31746.167686,62328.853071
n180,7,0.0078,2.200000,123421.61,44588.680208,27269.429675,27107.545848,24455.949561
n181,7,0.0078,2.200000,134873.83,22571.148273,15261.997188,40996.708359,56043.975641
n182,7,0.0078,2.200000,134123.60,60744.811655,17537.140484,27659.128552,28182.523267
n183,7,0.0078,2.200000,151099.67,17222.439851,20807.725723,38041.926916,75027.578410
n184,7,0.0078,2.200000,150224.27,15571.432164,75705.833820,20061.884248,38885.117161
n185,7,0.0078,2.200000,148384.55,21501.558153,44010.308437,51215.414956,31657.266288
n186,7,0.0078,2.200000,158165.64,33303.286963,16459.747042,22925.297416,85477.308116
n187,7,0.0078,2.200000,131657.46,21174.144676,28375.723644,30851.149581,51256.446609
n188,7,0.0078,2.200000,135842.89,25619.062830,19235.516963,29195.352391,61792.952924
n189,7,0.0078,2.200000,174563.00,12194.897482,21247.531843,71371.575527,69748.999074
n190,7,0.0078,2.200000,182676.74,63905.564996,13247.928076,66828.937044,38694.305233
n191,7,0.0078,2.200000,135149.74,30309.021029,23247.513402,37145.171891,44448.033446
n192,7,0.0078,2.200000,136587.67,14397.531286,15580.592998,57586.848957,49022.697107
n193,7,0.0078,2.200000,140251.46,14202.959357,16548.285546,66693.091730,42807.121410
n194,7,0.0078,2.200000,140886.51,14018.939127,25220.333397,65450.149631,36197.084137
n195,7,0.0078,2.200000,109883.77,22906.008557,42025.979468,21052.377426,23899.401353
n196,7,0.0078,2.200000,112337.92,27560.193956,23929.449685,19720.007769,41128.267364
n197,7,0.0078,2.200000,115196.16,13141.775934,16534.958567,39181.833514,46337.588868
n198,7,0.0078,2.200000,112415.95,19221.665408,19572.215519,29629.989167,43992.083342
n199,7,0.0078,2.200000,142511.05,13586.080464,33581.028855,23935.441220,71408.499408
n200,7,0.0078,2.200000,130689.06,18872.857544,16575.352442,61318.967979,33921.879439
n201,7,0.0078,2.200000,144244.39,20697.310709,69739.709492,30788.543181,23018.824249
n202,7,0.0078,2.200000,128751.21,18605.547340,19932.446333,32875.738876,57337.478258
n203,7,0.0078,2.200000,142032.98,11096.887871,19919.124975,74026.803110,36990.159559
n204,7,0.0078,2.200000,125140.96,19832.230917,50916.772801,21317.442085,33074.512700
n205,7,0.0078,2.200000,135963.71,22724.018149,19624.142948,31263.883134,62351.663592
n206,7,0.0078,2.200000,118920.85,21408.703034,20122.926424,32695.195791,44694.020674
n207,7,0.0078,2.200000,151767.24,16895.375096,13970.767273,38995.786627,81905.313349
n208,7,0.0078,2.200000,154974.12,10821.509613,53305.576564,21076.796156,69770.238499
n209,7,0.0078,2.200000,134894.83,32129.378943,53125.330720,26246.603360,23393.518775
n210,7,0.0078,2.200000,135162.10,22932.117437,44945.653816,24247.540709,43036.788705
n211,7,0.0078,2.200000,133105.82,39055.702563,20513.793932,47185.385712,26350.940301
n212,7,0.0078,2.200000,143731.28,13765.129723,18855.503396,39518.729705,71591.920941
n213,7,0.0078,2.200000,150242.87,19005.307117,17005.384928,36106.221543,78125.953745
n214,7,0.0078,2.200000,143317.08,15465.787810,22368.995523,34563.576502,70918.715818
n215,7,0.0078,2.200000,139253.95,14977.735574,18217.514841,33366.146998,72692.549670
n216,7,0.0078,2.200000,123197.40,52584.470683,19330.940744,21827.309991,29454.674656
n217,7,0.0078,2.200000,131890.28,16925.135599,43615.231043,39259.380164,32090.530452
n218,7,0.0078,2.200000,135049.35,16180.077731,28387.073482,42181.636209,48300.565342
n219,7,0.0078,2.200000,145307.88,13457.666156,16244.960705,35651.395460,79953.854132
n220,7,0.0078,2.200000,137886.45,16915.481076,13679.260291,58299.235225,48992.477084
n221,7,0.0078,2.200000,137131.49,11312.385693,17635.028019,63842.431105,44341.646942
n222,7,0.0078,2.200000,148691.04,53318.512728,17591.902818,26997.635545,50782.986452
n223,7,0.0078,2.200000,172901.81,22744.386246,44716.457584,20167.796863,85273.168762
n224,7,0.0078,2.200000,173876.06,8437.450970,11874.400057,62771.476182,90792.734360
n225,7,0.0078,2.200000,169923.74,9008.939866,9749.198308,63314.044303,87851.562106
n226,7,0.0078,2.200000,169268.65,18199.849350,25326.704762,38223.186647,87518.906914
n227,7,0.0078,2.200000,149830.99,16425.469052,14708.130466,72488.107426,46209.286484
n228,7,0.0078,2.200000,149877.00,8533.519561,10862.382866,54094.268029,76386.829163
n229,7,0.0078,2.200000,155027.06,29208.362994,20437.785473,43972.617617,61408.297067
n230,7,0.0078,2.200000,160066.13,7407.389495,12338.147650,63567.943161,76752.647039
n231,7,0.0078,2.200000,149634.49,8307.540131,61999.374606,16037.167499,63290.405450
n232,7,0.0078,2.200000,143734.84,14760.097432,20890.783098,53833.608732,54250.349954
n233,7,0.0078,2.200000,141555.75,12597.498955,13259.908223,66762.743963,48935.599625
n234,7,0.0078,2.200000,132267.51,54982.104523,11680.831611,30354.679168,35249.894556
n235,7,0.0078,2.200000,152725.50,32846.323197,29466.516114,55240.574517,35172.083346
n236,7,0.0078,2.200000,134783.61,42645.994726,25630.509781,39976.299939,26530.809221
n237,7,0.0078,2.200000,154698.18,65783.069812,17526.653630,24693.487787,46694.972691
n238,7,0.0078,2.200000,149556.24,8461.217028,48560.634400,67852.169219,24682.218327
n239,7,0.0078,2.200000,143570.44,19178.484428,18000.415149,34872.627766,71518.914762
n240,7,0.0078,2.200000,139655.62,21856.119557,12625.850836,35029.085028,70144.567422
n241,7,0.0078,2.200000,127915.44,51007.400696,12962.619093,33247.588136,30697.837001
n242,7,0.0078,2.200000,119665.67,19958.581009,15573.000419,33132.533619,51001.552934
n243,7,0.0078,2.200000,128975.70,53321.713064,13261.371559,22681.017114,39711.594290
n244,7,0.0078,2.200000,120702.78,9928.128143,13594.221314,44092.908220,53087.523434
n245,7,0.0078,2.200000,126434.73,22322.676417,53119.908669,17147.117394,33845.029043
n246,7,0.0078,2.200000,107697.88,21891.441950,35102.702444,24411.221838,26292.515205
n247,7,0.0078,2.200000,155057.86,68386.518326,22447.984632,30883.978861,33339.377169
n248,7,0.0078,2.200000,153000.41,12098.761807,44962.950266,34724.815736,61213.877533
n249,7,0.0078,2.200000,156279.08,38836.510056,65659.570738,27058.177807,24724.823396
n250,7,0.0078,2.200000,142102.50,27370.804694,60092.255382,31294.534777,23344.901605
n251,7,0.0078,2.200000,167145.45,8647.141848,7038.550886,37292.739370,114167.020828
n252,7,0.0078,2.200000,158569.04,92311.291529,23716.349968,19482.670671,23058.729502
n253,7,0.0078,2.200000,153902.31,23325.692111,22433.948863,40831.641793,67311.030918
n254,7,0.0078,2.200000,158269.98,14164.517784,26671.301424,46115.854646,71318.307948
